Module,Function,SubFunction,Role,PermissionCode,FrontendRoute,APIEndpoint,UILocation,Scope,AccessStatus,EntitlementRequired,SubscriptionRequired
AUTHENTICATION,Public Lead Contact,Enterprise Inquiry Submission,STAFF,leads.create,/contact,POST /api/public/leads/contact,Enterprise Modal (#modal-enterprise-contact),Public,DENY,None,None
AUTHENTICATION,Public Lead Contact,Enterprise Inquiry Submission,CUSTOMER_OWNER,leads.create,/contact,POST /api/public/leads/contact,Enterprise Modal (#modal-enterprise-contact),Public,ALLOW,None,None
AUTHENTICATION,Public Lead Contact,Enterprise Inquiry Submission,CUSTOMER_MANAGER,leads.create,/contact,POST /api/public/leads/contact,Enterprise Modal (#modal-enterprise-contact),Public,DENY,None,None
AUTHENTICATION,Public Lead Contact,Enterprise Inquiry Submission,CUSTOMER_STAFF,leads.create,/contact,POST /api/public/leads/contact,Enterprise Modal (#modal-enterprise-contact),Public,DENY,None,None
SEARCH,Quick Search,Text Query & Keyword Search,SYSTEM_OWNER,search.use,/app/search,GET /api/parts/search,Search View (#search-view),Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Quick Search,Text Query & Keyword Search,SUPER_ADMIN,search.use,/app/search,GET /api/parts/search,Search View (#search-view),Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Quick Search,Text Query & Keyword Search,ADMIN,search.use,/app/search,GET /api/parts/search,Search View (#search-view),Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Quick Search,Text Query & Keyword Search,STAFF,search.use,/app/search,GET /api/parts/search,Search View (#search-view),Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Quick Search,Text Query & Keyword Search,CUSTOMER_OWNER,search.use,/app/search,GET /api/parts/search,Search View (#search-view),Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Quick Search,Text Query & Keyword Search,CUSTOMER_MANAGER,search.use,/app/search,GET /api/parts/search,Search View (#search-view),Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Quick Search,Text Query & Keyword Search,CUSTOMER_STAFF,search.use,/app/search,GET /api/parts/search,Search View (#search-view),Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,OEM Search,Original Equipment Part Number Exact/Fuzzy,SYSTEM_OWNER,search.use,/app/search,GET /api/parts/search?oem_code=...,Search View OEM Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,OEM Search,Original Equipment Part Number Exact/Fuzzy,SUPER_ADMIN,search.use,/app/search,GET /api/parts/search?oem_code=...,Search View OEM Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,OEM Search,Original Equipment Part Number Exact/Fuzzy,ADMIN,search.use,/app/search,GET /api/parts/search?oem_code=...,Search View OEM Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,OEM Search,Original Equipment Part Number Exact/Fuzzy,STAFF,search.use,/app/search,GET /api/parts/search?oem_code=...,Search View OEM Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,OEM Search,Original Equipment Part Number Exact/Fuzzy,CUSTOMER_OWNER,search.use,/app/search,GET /api/parts/search?oem_code=...,Search View OEM Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,OEM Search,Original Equipment Part Number Exact/Fuzzy,CUSTOMER_MANAGER,search.use,/app/search,GET /api/parts/search?oem_code=...,Search View OEM Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,OEM Search,Original Equipment Part Number Exact/Fuzzy,CUSTOMER_STAFF,search.use,/app/search,GET /api/parts/search?oem_code=...,Search View OEM Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,SKU / Aftermarket Search,Brand & Part Number Lookup,SYSTEM_OWNER,search.use,/app/search,GET /api/parts/search?aftermarket_part=...,Search View SKU Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,SKU / Aftermarket Search,Brand & Part Number Lookup,SUPER_ADMIN,search.use,/app/search,GET /api/parts/search?aftermarket_part=...,Search View SKU Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,SKU / Aftermarket Search,Brand & Part Number Lookup,ADMIN,search.use,/app/search,GET /api/parts/search?aftermarket_part=...,Search View SKU Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,SKU / Aftermarket Search,Brand & Part Number Lookup,STAFF,search.use,/app/search,GET /api/parts/search?aftermarket_part=...,Search View SKU Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,SKU / Aftermarket Search,Brand & Part Number Lookup,CUSTOMER_OWNER,search.use,/app/search,GET /api/parts/search?aftermarket_part=...,Search View SKU Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,SKU / Aftermarket Search,Brand & Part Number Lookup,CUSTOMER_MANAGER,search.use,/app/search,GET /api/parts/search?aftermarket_part=...,Search View SKU Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,SKU / Aftermarket Search,Brand & Part Number Lookup,CUSTOMER_STAFF,search.use,/app/search,GET /api/parts/search?aftermarket_part=...,Search View SKU Input,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,VIN Lookup Engine,17-Digit VIN WMI/VDS/VIS Decoding,SYSTEM_OWNER,search.vin,/app/search,GET /api/parts/decode-vin,VIN Input & Camera Scan,Organization Scoped,ALLOW,VIN_SEARCH (PRO+),ACTIVE
SEARCH,VIN Lookup Engine,17-Digit VIN WMI/VDS/VIS Decoding,SUPER_ADMIN,search.vin,/app/search,GET /api/parts/decode-vin,VIN Input & Camera Scan,Organization Scoped,ALLOW,VIN_SEARCH (PRO+),ACTIVE
SEARCH,VIN Lookup Engine,17-Digit VIN WMI/VDS/VIS Decoding,ADMIN,search.vin,/app/search,GET /api/parts/decode-vin,VIN Input & Camera Scan,Organization Scoped,ALLOW,VIN_SEARCH (PRO+),ACTIVE
SEARCH,VIN Lookup Engine,17-Digit VIN WMI/VDS/VIS Decoding,STAFF,search.vin,/app/search,GET /api/parts/decode-vin,VIN Input & Camera Scan,Organization Scoped,ALLOW,VIN_SEARCH (PRO+),ACTIVE
SEARCH,VIN Lookup Engine,17-Digit VIN WMI/VDS/VIS Decoding,CUSTOMER_OWNER,search.vin,/app/search,GET /api/parts/decode-vin,VIN Input & Camera Scan,Organization Scoped,ALLOW,VIN_SEARCH (PRO+),ACTIVE
SEARCH,VIN Lookup Engine,17-Digit VIN WMI/VDS/VIS Decoding,CUSTOMER_MANAGER,search.vin,/app/search,GET /api/parts/decode-vin,VIN Input & Camera Scan,Organization Scoped,ALLOW,VIN_SEARCH (PRO+),ACTIVE
SEARCH,VIN Lookup Engine,17-Digit VIN WMI/VDS/VIS Decoding,CUSTOMER_STAFF,search.vin,/app/search,GET /api/parts/decode-vin,VIN Input & Camera Scan,Organization Scoped,ALLOW,VIN_SEARCH (PRO+),ACTIVE
SEARCH,Vehicle Fitment Filter,"Make, Model, Submodel & Year Filtering",SYSTEM_OWNER,search.vehicle,/app/search,GET /api/parts/search?car_brand=...&car_model=...,Vehicle Filter Dropdowns,Organization Scoped,ALLOW,VEHICLE_SEARCH,ACTIVE
SEARCH,Vehicle Fitment Filter,"Make, Model, Submodel & Year Filtering",SUPER_ADMIN,search.vehicle,/app/search,GET /api/parts/search?car_brand=...&car_model=...,Vehicle Filter Dropdowns,Organization Scoped,ALLOW,VEHICLE_SEARCH,ACTIVE
SEARCH,Vehicle Fitment Filter,"Make, Model, Submodel & Year Filtering",ADMIN,search.vehicle,/app/search,GET /api/parts/search?car_brand=...&car_model=...,Vehicle Filter Dropdowns,Organization Scoped,ALLOW,VEHICLE_SEARCH,ACTIVE
SEARCH,Vehicle Fitment Filter,"Make, Model, Submodel & Year Filtering",STAFF,search.vehicle,/app/search,GET /api/parts/search?car_brand=...&car_model=...,Vehicle Filter Dropdowns,Organization Scoped,ALLOW,VEHICLE_SEARCH,ACTIVE
SEARCH,Vehicle Fitment Filter,"Make, Model, Submodel & Year Filtering",CUSTOMER_OWNER,search.vehicle,/app/search,GET /api/parts/search?car_brand=...&car_model=...,Vehicle Filter Dropdowns,Organization Scoped,ALLOW,VEHICLE_SEARCH,ACTIVE
SEARCH,Vehicle Fitment Filter,"Make, Model, Submodel & Year Filtering",CUSTOMER_MANAGER,search.vehicle,/app/search,GET /api/parts/search?car_brand=...&car_model=...,Vehicle Filter Dropdowns,Organization Scoped,ALLOW,VEHICLE_SEARCH,ACTIVE
SEARCH,Vehicle Fitment Filter,"Make, Model, Submodel & Year Filtering",CUSTOMER_STAFF,search.vehicle,/app/search,GET /api/parts/search?car_brand=...&car_model=...,Vehicle Filter Dropdowns,Organization Scoped,ALLOW,VEHICLE_SEARCH,ACTIVE
SEARCH,Product Detail Inspection,Full Technical Specs & Applications,SYSTEM_OWNER,parts.view,/app/product/:id,GET /api/parts/product/{part_id},Product Detail Modal,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Product Detail Inspection,Full Technical Specs & Applications,SUPER_ADMIN,parts.view,/app/product/:id,GET /api/parts/product/{part_id},Product Detail Modal,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Product Detail Inspection,Full Technical Specs & Applications,ADMIN,parts.view,/app/product/:id,GET /api/parts/product/{part_id},Product Detail Modal,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Product Detail Inspection,Full Technical Specs & Applications,STAFF,parts.view,/app/product/:id,GET /api/parts/product/{part_id},Product Detail Modal,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Product Detail Inspection,Full Technical Specs & Applications,CUSTOMER_OWNER,parts.view,/app/product/:id,GET /api/parts/product/{part_id},Product Detail Modal,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Product Detail Inspection,Full Technical Specs & Applications,CUSTOMER_MANAGER,parts.view,/app/product/:id,GET /api/parts/product/{part_id},Product Detail Modal,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Product Detail Inspection,Full Technical Specs & Applications,CUSTOMER_STAFF,parts.view,/app/product/:id,GET /api/parts/product/{part_id},Product Detail Modal,Organization Scoped,ALLOW,SEARCH_QUOTA,ACTIVE
SEARCH,Public Demo Search,Limited 3-Result Preview for Guests,SYSTEM_OWNER,public.search,/demo,GET /api/public/demo-search,Public Landing Page,Public,DENY,None,None
SEARCH,Public Demo Search,Limited 3-Result Preview for Guests,SUPER_ADMIN,public.search,/demo,GET /api/public/demo-search,Public Landing Page,Public,DENY,None,None
SEARCH,Public Demo Search,Limited 3-Result Preview for Guests,ADMIN,public.search,/demo,GET /api/public/demo-search,Public Landing Page,Public,DENY,None,None
SEARCH,Public Demo Search,Limited 3-Result Preview for Guests,STAFF,public.search,/demo,GET /api/public/demo-search,Public Landing Page,Public,DENY,None,None
SEARCH,Public Demo Search,Limited 3-Result Preview for Guests,CUSTOMER_OWNER,public.search,/demo,GET /api/public/demo-search,Public Landing Page,Public,ALLOW,None,None
SEARCH,Public Demo Search,Limited 3-Result Preview for Guests,CUSTOMER_MANAGER,public.search,/demo,GET /api/public/demo-search,Public Landing Page,Public,ALLOW,None,None
SEARCH,Public Demo Search,Limited 3-Result Preview for Guests,CUSTOMER_STAFF,public.search,/demo,GET /api/public/demo-search,Public Landing Page,Public,ALLOW,None,None
CROSS_REFERENCE,Cross Reference Matrix,Typed OE-Aftermarket Interchange Matrix,SYSTEM_OWNER,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Cross-Ref View (#crossref-view),Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Cross Reference Matrix,Typed OE-Aftermarket Interchange Matrix,SUPER_ADMIN,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Cross-Ref View (#crossref-view),Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Cross Reference Matrix,Typed OE-Aftermarket Interchange Matrix,ADMIN,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Cross-Ref View (#crossref-view),Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Cross Reference Matrix,Typed OE-Aftermarket Interchange Matrix,STAFF,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Cross-Ref View (#crossref-view),Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Cross Reference Matrix,Typed OE-Aftermarket Interchange Matrix,CUSTOMER_OWNER,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Cross-Ref View (#crossref-view),Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Cross Reference Matrix,Typed OE-Aftermarket Interchange Matrix,CUSTOMER_MANAGER,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Cross-Ref View (#crossref-view),Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Cross Reference Matrix,Typed OE-Aftermarket Interchange Matrix,CUSTOMER_STAFF,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Cross-Ref View (#crossref-view),Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Interchange Comparison,OE vs Brand Equivalent Comparison,SYSTEM_OWNER,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Interchange Compare Table,Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Interchange Comparison,OE vs Brand Equivalent Comparison,SUPER_ADMIN,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Interchange Compare Table,Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Interchange Comparison,OE vs Brand Equivalent Comparison,ADMIN,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Interchange Compare Table,Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Interchange Comparison,OE vs Brand Equivalent Comparison,STAFF,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Interchange Compare Table,Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Interchange Comparison,OE vs Brand Equivalent Comparison,CUSTOMER_OWNER,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Interchange Compare Table,Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Interchange Comparison,OE vs Brand Equivalent Comparison,CUSTOMER_MANAGER,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Interchange Compare Table,Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
CROSS_REFERENCE,Interchange Comparison,OE vs Brand Equivalent Comparison,CUSTOMER_STAFF,search.cross_reference,/app/cross-reference,GET /api/parts/cross-reference-matrix,Interchange Compare Table,Organization Scoped,ALLOW,CROSS_REFERENCE,ACTIVE
SAVED,Save / Bookmark Part,Add Part to Organization Favorites,SYSTEM_OWNER,parts.save,/app/favorites,POST /api/saas/favorites/toggle,Favorites View (#favorites-view),Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,Save / Bookmark Part,Add Part to Organization Favorites,SUPER_ADMIN,parts.save,/app/favorites,POST /api/saas/favorites/toggle,Favorites View (#favorites-view),Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,Save / Bookmark Part,Add Part to Organization Favorites,ADMIN,parts.save,/app/favorites,POST /api/saas/favorites/toggle,Favorites View (#favorites-view),Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,Save / Bookmark Part,Add Part to Organization Favorites,STAFF,parts.save,/app/favorites,POST /api/saas/favorites/toggle,Favorites View (#favorites-view),Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,Save / Bookmark Part,Add Part to Organization Favorites,CUSTOMER_OWNER,parts.save,/app/favorites,POST /api/saas/favorites/toggle,Favorites View (#favorites-view),Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,Save / Bookmark Part,Add Part to Organization Favorites,CUSTOMER_MANAGER,parts.save,/app/favorites,POST /api/saas/favorites/toggle,Favorites View (#favorites-view),Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,Save / Bookmark Part,Add Part to Organization Favorites,CUSTOMER_STAFF,parts.save,/app/favorites,POST /api/saas/favorites/toggle,Favorites View (#favorites-view),Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,View Saved Parts,List All Bookmarked Parts,SYSTEM_OWNER,parts.save,/app/favorites,GET /api/saas/favorites,Favorites Table,Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,View Saved Parts,List All Bookmarked Parts,SUPER_ADMIN,parts.save,/app/favorites,GET /api/saas/favorites,Favorites Table,Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,View Saved Parts,List All Bookmarked Parts,ADMIN,parts.save,/app/favorites,GET /api/saas/favorites,Favorites Table,Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,View Saved Parts,List All Bookmarked Parts,STAFF,parts.save,/app/favorites,GET /api/saas/favorites,Favorites Table,Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,View Saved Parts,List All Bookmarked Parts,CUSTOMER_OWNER,parts.save,/app/favorites,GET /api/saas/favorites,Favorites Table,Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,View Saved Parts,List All Bookmarked Parts,CUSTOMER_MANAGER,parts.save,/app/favorites,GET /api/saas/favorites,Favorites Table,Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,View Saved Parts,List All Bookmarked Parts,CUSTOMER_STAFF,parts.save,/app/favorites,GET /api/saas/favorites,Favorites Table,Organization Scoped,ALLOW,SAVED_PARTS,ACTIVE
SAVED,Search History Log,Personal Search Audit & History,SYSTEM_OWNER,search.use,/app/history,GET /api/saas/history,History View (#history-view),User Scoped,ALLOW,None,ACTIVE
SAVED,Search History Log,Personal Search Audit & History,SUPER_ADMIN,search.use,/app/history,GET /api/saas/history,History View (#history-view),User Scoped,ALLOW,None,ACTIVE
SAVED,Search History Log,Personal Search Audit & History,ADMIN,search.use,/app/history,GET /api/saas/history,History View (#history-view),User Scoped,ALLOW,None,ACTIVE
SAVED,Search History Log,Personal Search Audit & History,STAFF,search.use,/app/history,GET /api/saas/history,History View (#history-view),User Scoped,ALLOW,None,ACTIVE
SAVED,Search History Log,Personal Search Audit & History,CUSTOMER_OWNER,search.use,/app/history,GET /api/saas/history,History View (#history-view),User Scoped,ALLOW,None,ACTIVE
SAVED,Search History Log,Personal Search Audit & History,CUSTOMER_MANAGER,search.use,/app/history,GET /api/saas/history,History View (#history-view),User Scoped,ALLOW,None,ACTIVE
SAVED,Search History Log,Personal Search Audit & History,CUSTOMER_STAFF,search.use,/app/history,GET /api/saas/history,History View (#history-view),User Scoped,ALLOW,None,ACTIVE
SAVED,Clear History Item,Delete Search Query Record,SYSTEM_OWNER,search.use,/app/history,DELETE /api/saas/history/{id},History Delete Button,User Scoped,ALLOW,None,ACTIVE
SAVED,Clear History Item,Delete Search Query Record,SUPER_ADMIN,search.use,/app/history,DELETE /api/saas/history/{id},History Delete Button,User Scoped,ALLOW,None,ACTIVE
SAVED,Clear History Item,Delete Search Query Record,ADMIN,search.use,/app/history,DELETE /api/saas/history/{id},History Delete Button,User Scoped,ALLOW,None,ACTIVE
SAVED,Clear History Item,Delete Search Query Record,STAFF,search.use,/app/history,DELETE /api/saas/history/{id},History Delete Button,User Scoped,ALLOW,None,ACTIVE
SAVED,Clear History Item,Delete Search Query Record,CUSTOMER_OWNER,search.use,/app/history,DELETE /api/saas/history/{id},History Delete Button,User Scoped,ALLOW,None,ACTIVE
SAVED,Clear History Item,Delete Search Query Record,CUSTOMER_MANAGER,search.use,/app/history,DELETE /api/saas/history/{id},History Delete Button,User Scoped,ALLOW,None,ACTIVE
SAVED,Clear History Item,Delete Search Query Record,CUSTOMER_STAFF,search.use,/app/history,DELETE /api/saas/history/{id},History Delete Button,User Scoped,ALLOW,None,ACTIVE
ORGANIZATION,View Organization Profile,"Inspect Company Info, Tax ID & Settings",SYSTEM_OWNER,organization.view,/app/settings,GET /api/saas/organization,Settings View (#settings-view),Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,View Organization Profile,"Inspect Company Info, Tax ID & Settings",SUPER_ADMIN,organization.view,/app/settings,GET /api/saas/organization,Settings View (#settings-view),Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,View Organization Profile,"Inspect Company Info, Tax ID & Settings",ADMIN,organization.view,/app/settings,GET /api/saas/organization,Settings View (#settings-view),Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,View Organization Profile,"Inspect Company Info, Tax ID & Settings",STAFF,organization.view,/app/settings,GET /api/saas/organization,Settings View (#settings-view),Organization Scoped,DENY,None,ACTIVE
ORGANIZATION,View Organization Profile,"Inspect Company Info, Tax ID & Settings",CUSTOMER_OWNER,organization.view,/app/settings,GET /api/saas/organization,Settings View (#settings-view),Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,View Organization Profile,"Inspect Company Info, Tax ID & Settings",CUSTOMER_MANAGER,organization.view,/app/settings,GET /api/saas/organization,Settings View (#settings-view),Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,View Organization Profile,"Inspect Company Info, Tax ID & Settings",CUSTOMER_STAFF,organization.view,/app/settings,GET /api/saas/organization,Settings View (#settings-view),Organization Scoped,DENY,None,ACTIVE
ORGANIZATION,Update Organization Profile,"Edit Tax ID, Head Office Address & Billing Contact",SYSTEM_OWNER,organization.update,/app/settings,PUT /api/saas/organization,Company Profile Form,Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,Update Organization Profile,"Edit Tax ID, Head Office Address & Billing Contact",SUPER_ADMIN,organization.update,/app/settings,PUT /api/saas/organization,Company Profile Form,Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,Update Organization Profile,"Edit Tax ID, Head Office Address & Billing Contact",ADMIN,organization.update,/app/settings,PUT /api/saas/organization,Company Profile Form,Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,Update Organization Profile,"Edit Tax ID, Head Office Address & Billing Contact",STAFF,organization.update,/app/settings,PUT /api/saas/organization,Company Profile Form,Organization Scoped,DENY,None,ACTIVE
ORGANIZATION,Update Organization Profile,"Edit Tax ID, Head Office Address & Billing Contact",CUSTOMER_OWNER,organization.update,/app/settings,PUT /api/saas/organization,Company Profile Form,Organization Scoped,ALLOW,None,ACTIVE
ORGANIZATION,Update Organization Profile,"Edit Tax ID, Head Office Address & Billing Contact",CUSTOMER_MANAGER,organization.update,/app/settings,PUT /api/saas/organization,Company Profile Form,Organization Scoped,DENY,None,ACTIVE
ORGANIZATION,Update Organization Profile,"Edit Tax ID, Head Office Address & Billing Contact",CUSTOMER_STAFF,organization.update,/app/settings,PUT /api/saas/organization,Company Profile Form,Organization Scoped,DENY,None,ACTIVE
USERS,View Team Members,"List Organization Users, Roles & Seats",SYSTEM_OWNER,users.view,/app/settings,GET /api/saas/organization/members,Team Roster Table,Organization Scoped,ALLOW,None,ACTIVE
USERS,View Team Members,"List Organization Users, Roles & Seats",SUPER_ADMIN,users.view,/app/settings,GET /api/saas/organization/members,Team Roster Table,Organization Scoped,ALLOW,None,ACTIVE
USERS,View Team Members,"List Organization Users, Roles & Seats",ADMIN,users.view,/app/settings,GET /api/saas/organization/members,Team Roster Table,Organization Scoped,ALLOW,None,ACTIVE
USERS,View Team Members,"List Organization Users, Roles & Seats",STAFF,users.view,/app/settings,GET /api/saas/organization/members,Team Roster Table,Organization Scoped,DENY,None,ACTIVE
USERS,View Team Members,"List Organization Users, Roles & Seats",CUSTOMER_OWNER,users.view,/app/settings,GET /api/saas/organization/members,Team Roster Table,Organization Scoped,ALLOW,None,ACTIVE
USERS,View Team Members,"List Organization Users, Roles & Seats",CUSTOMER_MANAGER,users.view,/app/settings,GET /api/saas/organization/members,Team Roster Table,Organization Scoped,ALLOW,None,ACTIVE
